chapter_id,sentence_index,character,emotion_raw,emotion,score,sentence
chapter_003,0,Sylvia,LABEL_2,senang,0.690907895565033,Langkah perjalanan WiraMadha dan Sylvia sempat terhenti di tengah rute menuju Gunung Bromo.
chapter_003,0,WiraMadha,LABEL_2,senang,0.690907895565033,Langkah perjalanan WiraMadha dan Sylvia sempat terhenti di tengah rute menuju Gunung Bromo.
chapter_003,1,Osmo,LABEL_2,senang,0.9263906478881836,"Meski Osmo tunggangan Wira dapat berlari kencang melintasi medan apa pun, mount Sylvia sangat tertinggal."
chapter_003,1,Sylvia,LABEL_2,senang,0.9263906478881836,"Meski Osmo tunggangan Wira dapat berlari kencang melintasi medan apa pun, mount Sylvia sangat tertinggal."
chapter_003,1,WiraMadha,LABEL_2,senang,0.9263906478881836,"Meski Osmo tunggangan Wira dapat berlari kencang melintasi medan apa pun, mount Sylvia sangat tertinggal."
chapter_003,3,Sylvia,LABEL_1,takut,0.9718350172042847,"""Maaf ya... Aku cuma bisa beli ini dari quest starter,"" keluh Sylvia, sambil menepuk pelan leher keledainya."
chapter_003,4,WiraMadha,LABEL_2,senang,0.9649593830108643,Wira hanya tertawa kecil.
chapter_003,12,Sylvia,LABEL_3,sedih,0.9961791038513184,Wira langsung membawa Sylvia ke toko mount premium.
chapter_003,12,WiraMadha,LABEL_3,sedih,0.9961791038513184,Wira langsung membawa Sylvia ke toko mount premium.
chapter_003,13,Osmo,LABEL_3,sedih,0.6685436367988586,"Tanpa banyak basa-basi, ia membeli seekor Osmo berwarna zamrud dengan aksen kuning keemasan."
chapter_003,17,Sylvia,LABEL_2,senang,0.7210565805435181,Sylvia terkejut.
chapter_003,21,Sylvia,LABEL_2,senang,0.8248651623725891,"Sylvia masih menatap ragu, lalu bertanya dengan serius. """
chapter_003,23,WiraMadha,LABEL_3,sedih,0.7020506858825684,"Wira tertawa, berusaha terlihat santai. """
chapter_003,26,Sylvia,LABEL_3,sedih,0.9169765710830688,"Tidak hanya mount, Wira juga membelikan armor akar roh dan tongkat kayu roh untuk Sylvia dan beberapa aksesoris yang mahal untuk Sylvia."
chapter_003,26,WiraMadha,LABEL_3,sedih,0.9169765710830688,"Tidak hanya mount, Wira juga membelikan armor akar roh dan tongkat kayu roh untuk Sylvia dan beberapa aksesoris yang mahal untuk Sylvia."
chapter_003,27,Sylvia,LABEL_1,takut,0.9943140745162964,"""Kita bahkan baru kenal... "" bisik Sylvia, heran."
chapter_003,30,WiraMadha,LABEL_0,marah,0.48040229082107544,ujar Wira sambil tersenyum.
chapter_003,31,Sylvia,LABEL_2,senang,0.8154891133308411,"---

Di Tepi Kota Suradikarta

Sambil duduk di taman kecil dekat sungai kota, Sylvia mulai menceritakan build idealnya."
chapter_003,36,WiraMadha,LABEL_3,sedih,0.8415056467056274,tanya Wira.
chapter_003,40,WiraMadha,LABEL_4,terkejut,0.9059188961982727,"tanya Wira dengan serius

""Belum."
chapter_003,43,Sylvia,LABEL_2,senang,0.9340810179710388,kata Sylvia lesu.
chapter_003,44,Sylvia,LABEL_3,sedih,0.9801397323608398,"Tak lama kemudian notifikasi sistem muncul:

[Trade Confirmed: 1x Potion LUK UP transferred to Inventory: Sylvia]

Sylvia terpana. """
chapter_003,49,WiraMadha,LABEL_2,senang,0.9294776916503906,"kata Wira, meyakinkan."
chapter_003,50,Buto Kalong,LABEL_3,sedih,0.8537307381629944,"""Ada satu cara, kita harus berburu World Boss bernama Buto Kalong di kawasan Danau Kaca Tiga Malam."
chapter_003,53,Sylvia,LABEL_3,sedih,0.44153112173080444,ucap Sylvia menjelaskan secara rinci.
chapter_003,55,WiraMadha,LABEL_0,marah,0.6084287762641907,"Gas..."" ujar Wira

---

Setelah membeli bekal dan melakukan perbaikan equipment, mereka melanjutkan perjalanan ke Danau Kaca Tiga Malam."
chapter_003,57,Buto Kalong,LABEL_2,senang,0.9810798168182373,"""Monster Buto Kalong hanya muncul waktu purnama."""
chapter_003,58,Sylvia,LABEL_2,senang,0.9597642421722412,"kata Sylvia. """
chapter_003,61,WiraMadha,LABEL_4,terkejut,0.6444028615951538,"tanya Wira

""Level 30."
chapter_003,68,Sylvia,LABEL_1,takut,0.7484805583953857,"""Pelan banget leveling-nya, di area ini"" kata Sylvia."
chapter_003,70,Buto Kalong,LABEL_2,senang,0.5365360975265503,"Kita punya waktu 60 menit untuk melawan Buto Kalong, kalo mau bergantung ke Potion LUK UP itu."""
chapter_003,77,Buto Kalong,LABEL_2,senang,0.8275312185287476,[Buto Kalong - Lv.
chapter_003,78,WiraMadha,LABEL_3,sedih,0.5345273017883301,"30 - BOSS] 

Drop: Bonded Echo - Drop Rate: 2

Drop: Bonded Echo - Drop Rate: 2.8% ^ Drop Rate Up: 5.6%

Wira mengangkat pedangnya."
chapter_003,79,Sylvia,LABEL_2,senang,0.5655238628387451,Sylvia mengepalkan tongkatnya.
