chapter_id,sentence_index,character,emotion_raw,emotion,score,sentence
chapter_002,0,Osmo,LABEL_2,senang,0.7277770638465881,"Osmo berhenti perlahan di depan gapura kota kecil Sagara Rimba, sebuah kota peristirahatan yang terletak di jalur tenggara menuju Gunung Bromo."
chapter_002,2,Osmo,LABEL_3,sedih,0.5267731547355652,"WiraMadha turun dari tunggangannya, mengusap leher Osmo yang mulai berkeringat setelah perjalanan panjang."
chapter_002,2,WiraMadha,LABEL_3,sedih,0.5267731547355652,"WiraMadha turun dari tunggangannya, mengusap leher Osmo yang mulai berkeringat setelah perjalanan panjang."
chapter_002,5,WiraMadha,LABEL_3,sedih,0.9736027717590332,"15-25)] Rekomendasi: 4 Player

Wira mengangkat alis, sedikit tersenyum."
chapter_002,11,HoppyLite,LABEL_3,sedih,0.9340272545814514,Namanya: HoppyLite - Class: Wanderer.
chapter_002,12,DrakeCloud,LABEL_2,senang,0.7543327808380127,Yang kedua: DrakeCloud - Class: Rogue.
chapter_002,18,Sylvia,LABEL_2,senang,0.8322875499725342,"Perempuan dengan ras Spirit

Di atas kepalanya tertulis: [Sylvia - Lv."
chapter_002,19,WiraMadha,LABEL_1,takut,0.5289661884307861,"15 - Spirit Handler]

 15 - Spirit Handler]

""Oke,"" gumam Wira. """
chapter_002,22,Sylvia,LABEL_1,takut,0.43566325306892395,Sylvia memberi anggukan sopan.
chapter_002,24,WiraMadha,LABEL_2,senang,0.9918792843818665,"Wira memandangnya sesaat, lalu memberanikan diri membuka obrolan."
chapter_002,26,Sylvia,LABEL_1,takut,0.952187180519104,"Iya,"" jawab Sylvia singkat. """
chapter_002,27,WiraMadha,LABEL_2,senang,0.9185148477554321,"Aku lagi coba cari jalan ke Bromo, tapi quest-nya agak sulit tanpa Unique Skill...""

Wira mengangguk kecil, lalu berkata pelan,

""Kalau kamu butuh partner ke sana, mungkin habis dungeon ini kita bisa ngobrol lebih jauh."""
chapter_002,28,Sylvia,LABEL_2,senang,0.9946812987327576,"Sylvia menoleh perlahan, menatap mata Wira."
chapter_002,28,WiraMadha,LABEL_2,senang,0.9946812987327576,"Sylvia menoleh perlahan, menatap mata Wira."
chapter_002,32,Kelabang Agni,LABEL_2,senang,0.9383950233459473,Kelabang Agni - seekor kelabang raksasa bersisik merah gelap dengan matanya menyala oranye muncul dari lubang tengah arena.
chapter_002,34,Kelabang Agni,LABEL_2,senang,0.8156232237815857,"Suara berderak terdengar saat tubuhnya menggeliat panjang lebih dari sepuluh meter

Phase 1

Kelabang Agni langsung menyergap, membuka rahangnya dan menyemburkan gumpalan api kecil yang meledak saat menyentuh tanah."
chapter_002,36,WiraMadha,LABEL_3,sedih,0.9152942895889282,"Wira berdiri di tengah, tamengnya terangkat tinggi."
chapter_002,50,WiraMadha,LABEL_2,senang,0.9064815044403076,"Wira kembali maju, menahan satu sabetan cakar monster dengan Perfect Parry, Wira pura-pura menggerakkan pedangnya berpura-pura menangkis."
chapter_002,54,Sylvia,LABEL_2,senang,0.8172199130058289,"Sylvia menyiapkan sihir:

""Spirit Soul Strike""

Sebuah bola cahaya kecil meluncur dari tongkatnya, meledak di udara menjadi kabut tipis yang mengurangi efek panas di area sekitar."
chapter_002,55,Kelabang Agni,LABEL_4,terkejut,0.8490356206893921,"Phase 3

Kelabang Agni melengkungkan tubuhnya."
chapter_002,59,Sylvia,LABEL_2,senang,0.9926637411117554,"Sylvia sedikit terlambat, masih melanjutkan channeling sihir."
chapter_002,60,WiraMadha,LABEL_2,senang,0.794679582118988,Wira tetap di tengah arena.
chapter_002,63,WiraMadha,LABEL_2,senang,0.6362164616584778,Teriak Drake melihat Wira.
chapter_002,64,Kelabang Agni,LABEL_2,senang,0.8528489470481873,Kelabang Agni mulai berputar.
chapter_002,66,WiraMadha,LABEL_3,sedih,0.9914914965629578,"""Perfect Parry Aktif""

Semburan api mental dari tubuh Wira."
chapter_002,68,WiraMadha,LABEL_2,senang,0.5367944836616516,"Armor Wira menyala merah, tapi tubuhnya tetap berdiri kokoh."
chapter_002,69,Sylvia,LABEL_2,senang,0.7701084017753601,Sylvia terkena ledakan sisa dan HP-nya anjlok.
chapter_002,73,Tetes Air Kehidupan-Rere,LABEL_0,marah,0.9479292631149292,"Turunlah dan bantu kami, Tetes Air Kehidupan-Rere!"""
chapter_002,75,Tetes Air Kehidupan-Rere,LABEL_2,senang,0.9321671724319458,"Rere, peri mungil bersayap, tubuhnya mirip tetesan air."
chapter_002,77,Tetes Air Kehidupan-Rere,LABEL_3,sedih,0.9939650893211365,"""Rere, support mode!"""
